zone,season,signif,ntotal,n,p,moe,nlow,plow,nhigh,phigh
26,Winter,❌,158,54,0.32926829268292684,0.07192560469248764,40.66014470248939,0.2573426879904392,63.38863578531549,0.4011938973754145
26,Summer,❌,158,37,0.23417721518987342,0.06603344999902985,26.566714900153283,0.16814376519084356,47.433285099846714,0.30021066518890327
27,Winter,❌,88,24,0.26666666666666666,0.09136290410726654,15.42673110522721,0.1753037625594001,31.50660222810612,0.3580295707739332
27,Summer,❌,88,13,0.14772727272727273,0.07413689124772353,6.47595357020033,0.0735903814795492,19.52404642979967,0.22186416397499625
28,Winter,❌,800,198,0.2391304347826087,0.02905450200620674,168.06074622112158,0.21007593277640196,214.54794943105236,0.26818493678881544
28,Summer,❌,800,205,0.25625,0.030252168052471873,180.79826555802248,0.2259978319475281,229.2017344419775,0.28650216805247186
29,Winter,NA,3,1,0.3333333333333333,0.533444432872781,-0.600333298618343,-0.20011109953944767,2.6003332986183425,0.8667777662061142
32,Winter,❌,94,10,0.10526315789473684,0.06171349271408382,4.093668526981383,0.043549665180653015,15.695805157229142,0.16697665060882066
32,Summer,❌,94,16,0.1702127659574468,0.07597515305037753,8.858335613264511,0.09423761290706928,23.14166438673549,0.24618791900782433
35,Winter,❌,54,7,0.12727272727272726,0.0880808862604012,2.1163594146656073,0.03919184101232606,11.629095130788937,0.21535361353312846
35,Summer,❌,54,7,0.12962962962962962,0.08959079297815883,2.1620971791794226,0.04003883665147079,11.837902820820577,0.21922042260778846
36,Winter,❌,122,23,0.184,0.06792897410678303,14.16066515897247,0.11607102589321697,30.735334841027534,0.25192897410678305
36,Summer,❌,122,37,0.30327868852459017,0.08156928401263486,27.04854735045855,0.2217094045119553,46.95145264954145,0.384847972537225
39,Winter,❌,8,1,0.125,0.2291765149399039,-0.8334121195192312,-0.1041765149399039,2.833412119519231,0.3541765149399039
39,Summer,❌,8,1,0.125,0.2291765149399039,-0.8334121195192312,-0.1041765149399039,2.833412119519231,0.3541765149399039
40,Summer,NA,1,1,1,0,1,1,1,1
44,Winter,❌,31,9,0.2903225806451613,0.15978872291433818,4.046549589655517,0.13053385773082313,13.953450410344484,0.45011130355949946
44,Summer,❌,31,6,0.1935483870967742,0.13907823166541247,1.6885748183722131,0.054470155431361716,10.311425181627786,0.3326266187621867
45,Winter,NA,9,1,0.1111111111111111,0.20532285794453822,-0.8479057215008441,-0.09421174683342712,2.8479057215008443,0.31643396905564936
46,Winter,❌,8,2,0.25,0.3000624934909393,-0.4004999479275142,-0.050062493490939275,4.400499947927514,0.5500624934909393
46,Summer,❌,8,2,0.25,0.3000624934909393,-0.4004999479275142,-0.050062493490939275,4.400499947927514,0.5500624934909393
47,Winter,❌,14,5,0.3333333333333333,0.23856360282447234,1.3267762271240537,0.09476973050886098,8.006557106209279,0.5718969361578057
47,Summer,❌,14,3,0.21428571428571427,0.21494185260204676,-0.00918593642865484,-6.561383163324885e-4,6.009185936428654,0.42922756688776104
48,Winter,❌,33,7,0.2,0.1325201871414314,2.226833824332764,0.0674798128585686,10.973166175667236,0.3325201871414314
48,Summer,❌,33,6,0.18181818181818182,0.13159599399245026,1.6573321982491418,0.05022218782573157,10.342667801750858,0.3134141758106321
49,Winter,❌,6,3,0.5,0.40008332465458574,0.5995000520724856,0.09991667534541426,5.400499947927514,0.9000833246545857
49,Summer,❌,6,3,0.5,0.40008332465458574,0.5995000520724856,0.09991667534541426,5.400499947927514,0.9000833246545857
50,Winter,❌,111,30,0.2564102564102564,0.07912205025298395,19.67899088345724,0.17728820615727242,37.24408603961968,0.33553230666324035
50,Summer,❌,111,29,0.26126126126126126,0.08172925277490813,19.9280529419852,0.17953200848635315,38.0719470580148,0.34299051403616937
52,Winter,❌,117,23,0.19008264462809918,0.0699125224406301,14.059904295933881,0.12017012218746907,30.419434547041323,0.25999516706872927
52,Summer,❌,117,21,0.1794871794871795,0.06953805555275425,12.864047500327754,0.10994912393442524,29.135952499672246,0.24902523503993373
53,Winter,❌,9,2,0.2222222222222222,0.27161661029914536,-0.4445494926923083,-0.049394388076923146,4.444549492692308,0.49383883252136757
53,Summer,❌,9,3,0.3333333333333333,0.3079842869168074,0.2281414177487332,0.02534904641652591,5.771858582251267,0.6413176202501407
54,Winter,❌,184,53,0.2760416666666667,0.06323384105170425,39.156639913153086,0.21280782561496242,62.42669342018026,0.33927550771837095
54,Summer,❌,184,39,0.21195652173913043,0.05905349984621118,28.134156028297145,0.15290302189291927,49.86584397170285,0.2710100215853416
55,Winter,❌,4,2,0.5,0.49,0.040000000000000036,0.010000000000000009,3.96,0.99
55,Summer,❌,4,2,0.5,0.49,0.040000000000000036,0.010000000000000009,3.96,0.99
56,Winter,❌,2039,516,0.24078394773681755,0.018102620293026613,454.0472266578897,0.22268132744379093,527.8697122128523,0.25888656802984417
56,Summer,❌,2039,525,0.2574791564492398,0.018978977982524337,486.3018638936328,0.23850017846671545,563.6981361063671,0.27645813443176415
58,Winter,❌,12,4,0.26666666666666666,0.22379249648163246,0.5144900422204104,0.0428741701850342,5.88550995777959,0.4904591631482991
58,Summer,❌,12,3,0.25,0.245,0.06000000000000005,0.0050000000000000044,5.9399999999999995,0.495
59,Winter,❌,21,7,0.30434782608695654,0.18804999606261671,2.442254430511136,0.11629783002433983,10.34035426514104,0.4923978221495733
59,Summer,❌,21,6,0.2857142857142857,0.19321835661585918,1.942414511066957,0.09249592909842652,10.057585488933043,0.4789326423301449
60,Winter,❌,844,197,0.2215973003374578,0.02730169371561657,163.98549198883399,0.19429560662184123,210.0707509807948,0.2488989940530744
60,Summer,❌,844,226,0.2677725118483412,0.02987382678529987,200.7864901932069,0.23789868506304135,251.21350980679307,0.2976463386336411
61,Winter,❌,25,7,0.2692307692307692,0.1704990132476849,2.468293899577108,0.09873175598308431,10.993244561961353,0.4397297824784541
61,Summer,❌,25,7,0.28,0.17600756347384622,2.599810913153845,0.10399243652615381,11.400189086846156,0.45600756347384624
62,Winter,✅,1287,319,0.23717472118959107,0.022732210385487124,275.9875114048818,0.21444251080410395,334.5002209371257,0.2599069315750782
62,Summer,✅,1287,383,0.2975912975912976,0.02497881624881409,350.85226348777627,0.2726124813424835,415.14773651222373,0.3225701138401117
63,Winter,❌,31,9,0.28125,0.1557816417999085,3.8895191042028365,0.1254683582000915,13.547980895797163,0.4370316417999085
63,Summer,❌,31,11,0.3548387096774194,0.16843210293961564,5.778604808871916,0.18640660673780374,16.221395191128085,0.523270812617035
64,Winter,❌,28,5,0.16666666666666666,0.13336110821819525,0.9325556365571995,0.03330555844847141,8.400777696776132,0.3000277748848619
64,Summer,❌,28,1,0.03571428571428571,0.06873863542433759,-0.9246817918814525,-0.03302434971005187,2.9246817918814525,0.1044529211386233
65,Winter,❌,49,13,0.24074074074074073,0.11403260251264788,6.2086987731765495,0.12670813822809285,17.38389381941604,0.3547733432533886
65,Summer,❌,49,15,0.30612244897959184,0.1290467404644139,8.67670971724372,0.17707570851517795,21.323290282756282,0.43516918944400573
66,Winter,❌,239,46,0.18110236220472442,0.04736047830129514,31.9643102529196,0.13374188390342928,54.60261888093868,0.22846284050601956
66,Summer,❌,239,65,0.2719665271966527,0.05641447129756894,51.516941359881024,0.21555205589908377,78.48305864011897,0.32838099849422164
67,Winter,❌,53,16,0.2857142857142857,0.11832159566199232,8.87181257277155,0.16739269005229337,21.413901712942735,0.404035881376278
67,Summer,❌,53,5,0.09433962264150944,0.0786951355572759,0.8291578154643774,0.015644487084233535,9.170842184535623,0.17303475819878533
68,Winter,❌,20,8,0.36363636363636365,0.20101620120778577,3.2524032485715577,0.16262016242857788,11.293051296882988,0.5646525648441494
68,Summer,❌,20,4,0.2,0.17530772943598355,0.4938454112803292,0.02469227056401646,7.506154588719671,0.37530772943598356
69,Summer,NA,2,1,0.5,0.6929646455628166,-0.3859292911256331,-0.19296464556281656,2.385929291125633,1.1929646455628165
NA,Winter,❌,202,30,0.1485148514851485,0.049040384658155474,20.093842299052593,0.09947446682699304,39.906157700947404,0.19755523614330397
NA,Summer,❌,202,34,0.1440677966101695,0.044802599204467684,20.051569875951763,0.0992651974057018,38.151819954556714,0.1888703958146372
